,Timestamp,Question 1: In which institution are you based?,Question 2: Which of the following roles apply to you? 1,Question 2: Which of the following roles apply to you? 2,Question 2: Which of the following roles apply to you? 3,Question 2: Which of the following roles apply to you? 4,Question 2: Which of the following roles apply to you? 5,Question 3: Which of the following disciplines best applies to your work?,Question 4: Which funder currently provides the majority of your funding?,Question 5: How many years have you worked in research?,Question 6: Do you use research software?,Question 7: What would happen if you could no longer use research software?,Question 8: Do you develop your own research software?,Question 9: Have you received any training in software development?,Question 10: Have you ever included costs for software development in a funding proposal?,Question 11: Please provide the name(s) of the main research software you use.,Extra question 1: What is your job title?,Extra question 2: What is your gender?,Extra question 3: Are you employed on a permanent or fixed-term contract,Extra question 4: What is your preferred Operating System?,Q11_valid_data
171,10/20/2014 12:52:07,university of sheffield,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,Engineering & technology,epsrc - engineering and physical sciences research council,6-10 years,Yes,"My work would require more effort, but it would still be possible",Yes,No,I'm not involved in bid writing,"Matlab, MPB, MEEP, Fullwave, Bandsolve",Postdoctoral researcher,Male,Fixed term,Linux,True
172,10/20/2014 12:59:24,queen mary university of london,I conduct research, I manage researchers or research projects, I develop software for researchers,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","RMCprofile, DL_POLY, CASTEP, gnuplot",Lecturer,Male,Permanent,Mac OS X,True
173,10/20/2014 13:01:08,imperial college london,I conduct research, I develop software for researchers,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"Firedrake,PyOP2,FEniCS,PETSc,Numpy,",Research Fellow,Male,Permanent,Linux,True
174,10/20/2014 13:01:33,university of leeds,I conduct research,,,,,Humanities & language based studies & archaeology,don't know,Less than a year,No,It would make no significant difference to my work,No,No,No,,Online Learning Specialist,Male,Fixed term,Microsoft Windows,False
175,10/20/2014 13:01:47,imperial college london,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,Engineering & technology,industry,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"Eclipse, STARS, Mistress",Professor,Female,Permanent,VMS,True
176,10/20/2014 13:04:21,university of sheffield,I conduct research, I support researchers, I manage researchers or research projects,,,"Medicine, dentistry & health",mrc - medical research council,More than 20 years,Yes,It would not be practical to conduct my work without software,No,No,No,Datadesk,Professor,Male,Permanent,Mac OS X,True
177,10/20/2014 13:06:59,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences","other foundation, society or charity",1-5 years,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing,"R, SPSS, Excel, MATLAB, ArcMap, MestreNova",PhD student,Male,Fixed term,Microsoft Windows,True
178,10/20/2014 13:11:45,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"ROOT (root.cern.ch), pyroot, mathematica, own software in C++ and python",PhD student,Male,Fixed term,Linux,True
179,10/20/2014 13:19:29,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",mrc - medical research council,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"Volocity, Image J, Licor software",Postdoctoral researcher,Female,Fixed term,Mac OS X,True
180,10/20/2014 13:20:35,university of glasgow,I conduct research, I manage researchers or research projects,,,,"Medicine, dentistry & health","other foundation, society or charity",6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"Microsoft Office Excel (visual basic for applications),Matlab,SPSS,",research physiotherapist,Female,Fixed term,Microsoft Windows,True
181,10/20/2014 13:26:30,university of leeds,I conduct research,,,,,"Biological, mathematical & physical sciences",european union,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"Microsoft Access, Microsoft Excel, SPSS, OriginLab",Postdoctoral researcher,Female,Fixed term,Don't have a preference,True
182,10/20/2014 13:28:11,university of birmingham,I conduct research,,,,,Education,"other foundation, society or charity",11-15 years,Yes,It would not be practical to conduct my work without software,No,No,No,"excel, SPSS, MLwIN, Nvivo",Lecturer,Male,Permanent,Don't have a preference,True
183,10/20/2014 13:31:49,queen mary university of london,I conduct research, I manage researchers or research projects,,,,Humanities & language based studies & archaeology,esrc - economic and social research council,1-5 years,No,It would make no significant difference to my work,No,No,No,,Research Fellow,Male,Fixed term,Microsoft Windows,False
184,10/20/2014 13:36:02,queen's university belfast,I conduct research,,,,,Social studies,university central funds,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,Yes - self taught using online resources or books,No,,,Male,Permanent,Mac OS X,False
185,10/20/2014 13:36:02,imperial college london,I conduct research,,,,,Engineering & technology,"other foundation, society or charity",1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","Matlab,Excel,Vensim,Python,Origin,,",PhD student,Male,Fixed term,Microsoft Windows,True
186,10/20/2014 13:37:18,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"Matlab,Microsoft Office,",PhD student,Male,Fixed term,Microsoft Windows,True
187,10/20/2014 13:39:33,imperial college london,I conduct research, I support researchers,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing,,PhD student,Male,Fixed term,Mac OS X,False
188,10/20/2014 13:40:17,university of leeds,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"Matlab, Maple, Python, TAO, PETSCI, MPI, C, Fortran",Professor,Male,Permanent,Linux,True
189,10/20/2014 13:44:12,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,"ImageJ, InSite",PhD student,Female,Fixed term,Microsoft Windows,True
190,10/20/2014 13:45:58,queen's university belfast,I conduct research,,,,,Social studies,uk government,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"NVivo, SPSS",Research Fellow,Female,Fixed term,Microsoft Windows,True
191,10/20/2014 13:55:08,university of liverpool,I conduct research,,,,,"Medicine, dentistry & health",wellcome trust,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"R, STATA",PhD student,Female,Fixed term,Mac OS X,True
192,10/20/2014 13:57:31,university of liverpool,I conduct research,,,,,"Biological, mathematical & physical sciences","other foundation, society or charity",11-15 years,Yes,It would not be practical to conduct my work without software,No,No,No,"SPSS,Sigmaplot,Primer 6+ (Primer E ltd),R,Excel,",Research Fellow,Female,Fixed term,Mac OS X,True
193,10/20/2014 14:10:36,university of birmingham,I conduct research, I manage researchers or research projects,,,,Social studies,uk government,11-15 years,No,It would make no significant difference to my work,No,Yes - self taught using online resources or books,No,,Project manager,Male,Permanent,Don't have a preference,False
194,10/20/2014 14:13:18,queen mary university of london,I manage researchers or research projects,,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"Sequenceserver, blast, bwa, R,",Lecturer,Prefer not to say,Permanent,Mac OS X,True
195,10/20/2014 14:15:47,queen's university belfast,I conduct research,,,,,Administrative & business studies,not known,6-10 years,Yes,"My work would require more effort, but it would still be possible",Yes,No,No,NVIVO,Researcher,Male,Prefer not to say,Microsoft Windows,True
196,10/20/2014 14:18:40,university of liverpool,I conduct research, I manage researchers or research projects,,,,Architecture & planning,"other foundation, society or charity",1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"Rhinoceros 5,Grasshopper,DIVA,Adobe suite",Lecturer,Male,Permanent,Microsoft Windows,True
197,10/20/2014 14:18:40,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,No,Yes - self taught using online resources or books,No,"Mathworks, Maplesoft",Postdoctoral researcher,Male,Fixed term,Linux,True
198,10/20/2014 14:19:10,queen mary university of london,I conduct research, I support researchers, I manage researchers or research projects,,,Humanities & language based studies & archaeology,ahrc - arts and humanities research council,More than 20 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - a taught course,No,"R for statistical analysis, varbrule (ditto), online corpora such as World Atlas of Language Structures(http://wals.info), Syntactic Structures of the Wolrds Languages (http://sswl.railsplayground.net), javascript / Ruby scripts for experiments.",Professor,Male,Permanent,Mac OS X,True
199,10/20/2014 14:21:00,queen mary university of london,I conduct research,,,,,"Biological, mathematical & physical sciences",european union,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"python, perl, R, Trinity, samtools, gatK, SOAPdenovo, Newbler, Velvet/Oases, STRUCTURE ",PhD student,Female,Fixed term,Mac OS X,True
200,10/20/2014 14:21:48,queen's university belfast,I conduct research, I manage researchers or research projects,,,,Humanities & language based studies & archaeology,"other foundation, society or charity",More than 20 years,No,It would make no significant difference to my work,No,Yes - a taught course,Yes,,Lecturer,Male,Permanent,Microsoft Windows,False
201,10/20/2014 14:21:50,university of liverpool,I conduct research, I support researchers,,,,"Medicine, dentistry & health",nihr,15-20 years,Yes,It would not be practical to conduct my work without software,No,No,Yes,"SAS,R,Stata,",Lecturer,Male,Permanent,Microsoft Windows,True
202,10/20/2014 14:30:34,university of glasgow,I conduct research,,,,,Social studies,ahrc - arts and humanities research council,11-15 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,SSPS,Professor,Male,Permanent,Microsoft Windows,True
203,10/20/2014 14:37:29,university of leeds,I conduct research, I support researchers, I develop software for researchers,,,"Biological, mathematical & physical sciences",not prepared to answer,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,Yes,"Propietary software at Leeds: MG, CUBEMPI, spectral MHD codes.",Postdoctoral researcher,Male,Fixed term,Don't have a preference,True
204,10/20/2014 14:43:21,university of leeds,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",university central funds,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,R,Professor,Male,Permanent,Linux,True
205,10/20/2014 14:45:53,imperial college london,I conduct research, I support researchers, I manage researchers or research projects,,,Engineering & technology,epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",No,"Matlab, Auto, Fortran",Professor,Male,Permanent,Microsoft Windows,True
206,10/20/2014 14:49:57,university of bristol,I conduct research,,,,,Humanities & language based studies & archaeology,ahrc - arts and humanities research council,11-15 years,No,It would make no significant difference to my work,No,No,"No, but we expected to develop software as part of the project",,Professor,Male,Permanent,Microsoft Windows,False
207,10/20/2014 15:02:53,university of bristol,I conduct research,,,,,Engineering & technology,industry,Less than a year,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing,MATLAB,PhD student,Male,Fixed term,Microsoft Windows,True
208,10/20/2014 15:11:25,university of birmingham,I manage researchers or research projects,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,No,"No, but we expected to develop software as part of the project","QuantumEspresso, VASP, NWChem, GPAW, Amber, GMIN (Cambridge), PELE (Cambridge), Birmingham Cluster Genetic Algorithm (written in our group).",Professor,Male,Permanent,Linux,True
209,10/20/2014 15:17:21,university of leeds,I conduct research,,,,,Humanities & language based studies & archaeology,ahrc - arts and humanities research council,Less than a year,Yes,"My work would require more effort, but it would still be possible",No,No,No,"Mendeley, EndNote, Sente, Microsoft Word, Excel, Powerpoint, Latex, ",PhD student,Male,Fixed term,Mac OS X,True
210,10/20/2014 15:23:01,queen mary university of london,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",industry,11-15 years,Yes,It would not be practical to conduct my work without software,No,No,No,"Mestranova,Excel",Lecturer,Female,Permanent,Microsoft Windows,True
211,10/20/2014 15:29:28,queen mary university of london,I do research but am officially 'retired',,,,,"Biological, mathematical & physical sciences",self funded,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"R, Geany, C, C++, LibreOffice Calc",Emeritus Professor,Prefer not to say,,Linux,True
212,10/20/2014 15:30:16,university of sheffield,I conduct research,,,,,"Biological, mathematical & physical sciences",european union,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing,"MatLab, OpenSim",Postdoctoral researcher,Male,Fixed term,Linux,True
213,10/20/2014 15:30:31,imperial college london,I conduct research, I support researchers,,,,Engineering & technology,don't know,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"Origin,Matlab,Python",PhD student,Male,Permanent,Microsoft Windows,True
214,10/20/2014 15:35:30,university of bristol,I conduct research, I develop software for researchers,,,,Social studies,mrc - medical research council,1-5 years,No,It would make no significant difference to my work,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,,Postdoctoral researcher,Male,Fixed term,Linux,False
215,10/20/2014 15:38:23,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,ROOT,Postdoctoral researcher,Male,Prefer not to say,Linux,True
216,10/20/2014 15:40:25,university of liverpool,I conduct research, I manage researchers or research projects, I develop software for researchers,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",Yes,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","PRISM, NuSMV",Lecturer,Male,Permanent,Don't have a preference,True
217,10/20/2014 15:40:29,university of nottingham,I support researchers,,,,,"Biological, mathematical & physical sciences",don't know,1-5 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,,Technician,Male,Permanent,Microsoft Windows,False
218,10/20/2014 15:40:59,university of nottingham,I conduct research, I support researchers,,,,Humanities & language based studies & archaeology,ahrc - arts and humanities research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,"PAST hammer, ArcGIS",Research Fellow,Female,Fixed term,Microsoft Windows,True
219,10/20/2014 15:48:42,university of nottingham,I conduct research, I manage researchers or research projects,,,,Engineering & technology,european union,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,Yes - self taught using online resources or books,No,SPSS,Research Fellow,Female,Fixed term,Microsoft Windows,True
220,10/20/2014 15:51:33,university of leeds,I conduct research,,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,"Syngene Genetools, Ascent for Multiskan Ascent, Software to run a nanodrop, ImageJ, Microsoft Excel, ",,Male,Fixed term,Microsoft Windows,True
221,10/20/2014 15:53:56,university of glasgow,I conduct research,,,,,Engineering & technology,industry,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"Origin, L-Edit, LayoutBeamer, Penelope",Postdoctoral researcher,Female,Fixed term,Mac OS X,True
222,10/20/2014 15:55:07,queen's university belfast,I conduct research,,,,,Engineering & technology,esrc - economic and social research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,No,"SPSS, AMOS, Vensim, Banxia, nVivo",Lecturer,Male,Permanent,Microsoft Windows,True
223,10/20/2014 15:55:35,university of leeds,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",european union,1-5 years,Yes,It would not be practical to conduct my work without software,No,Yes - a taught course,No,"Ccp4, ccpn",Postdoctoral researcher,Female,Fixed term,Mac OS X,True
224,10/20/2014 15:56:57,university of liverpool,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","R,gcc",Reader,Male,Permanent,Mac OS X,True
225,10/20/2014 15:58:57,imperial college london,I conduct research, I manage researchers or research projects, I develop software for researchers,,,"Biological, mathematical & physical sciences",european research council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,"Magma, Go, Sage, Mathematica",Reader,Male,Permanent,Mac OS X,True
226,10/20/2014 16:06:41,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,Latex,Postdoctoral researcher,Female,Fixed term,Mac OS X,True
227,10/20/2014 16:08:36,university of sheffield,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",university central funds,15-20 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,No,"LaTeX, R, Python/SAGE, PARI",Reader,Male,Permanent,Microsoft Windows,True
228,10/20/2014 16:18:01,university of sheffield,I conduct research,,,,,"Medicine, dentistry & health",no funding,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,No,"SPSS, excel",Lecturer,Female,Permanent,Microsoft Windows,True
229,10/20/2014 16:19:35,university of nottingham,I conduct research, I support researchers, I develop software for researchers,,,Engineering & technology,epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project",,Postdoctoral researcher,Male,Fixed term,Linux,False
230,10/20/2014 16:22:51,imperial college london,I conduct research, I support researchers,,,,"Biological, mathematical & physical sciences",european union,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,No,"SPSS, Statgraphs, Origin, Excel, Geochem",Fellow,Female,Fixed term,Microsoft Windows,True
231,10/20/2014 16:28:42,university of bristol,I conduct research, teaching,,,,Social studies,university central funds,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,"Stata, Oxmetrics",Reader,Male,Permanent,Don't have a preference,True
232,10/20/2014 16:30:26,university of liverpool,I conduct research, I support researchers,,,,"Medicine, dentistry & health",nihr,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,"No, but we expected to develop software as part of the project","Excel, Access, Graphpad, SPSS, Plink, Whatever my statistician tells me!!",Lecturer,Male,Permanent,Microsoft Windows,True
233,10/20/2014 16:46:47,imperial college london,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,15-20 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,No,"magma, sage",Professor,Male,Permanent,Linux,True
234,10/20/2014 16:57:38,imperial college london,I conduct research, I develop software for researchers,,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"ROOT, self-written code in C++, self-written code in Python, self-written code in CUDA, self-written code in bash, NEUT, GENIE, GEANT4, MySQL, MINUIT, STAN",Postdoctoral researcher,Other,Fixed term,Linux,True
235,10/20/2014 16:59:23,queen's university belfast,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,Engineering & technology,european union,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,No,Yes,"ABAQUS,Intel FORTRAN,MATLAB",Professor,Male,Permanent,Microsoft Windows,True
236,10/20/2014 17:01:10,queen mary university of london,I conduct research,,,,,Humanities & language based studies & archaeology,"other foundation, society or charity",1-5 years,No,It would make no significant difference to my work,No,No,No,n/a,Postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
237,10/20/2014 17:03:53,imperial college london,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,"text processing software, visualization software, I write my own codes to run simulations and some are freely available on the web. ",Research Fellow,Male,Fixed term,Linux,True
238,10/20/2014 17:16:31,university of leeds,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,No,It would make no significant difference to my work,No,No,I'm not involved in bid writing,,PhD student,Male,Prefer not to say,Linux,False
239,10/20/2014 17:25:07,queen mary university of london,I conduct research, I manage researchers or research projects, I develop software for researchers,,,Engineering & technology,european union,15-20 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","Spss, matlab ",Professor,Male,Permanent,Microsoft Windows,True
240,10/20/2014 17:37:07,university of bristol,I conduct research, I support researchers, I manage researchers or research projects,,,"Medicine, dentistry & health",nihr,11-15 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,NVivo,Research Fellow,Female,Permanent,Microsoft Windows,True
241,10/20/2014 17:42:31,university of bristol,I conduct research,,,,,Social studies,esrc - economic and social research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"SPSS,GeoSegregationAnalyser,ArcInfo,Equipop",Professor,Male,,Microsoft Windows,True
242,10/20/2014 17:50:41,imperial college london,I conduct research, I manage researchers or research projects, I develop software for researchers,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","self-written software coded in C and R,,PGPLOT graphics library,,Gnu scientific library,,Python, shell and Perl scripts",Lecturer,Male,Permanent,Mac OS X,True
243,10/20/2014 18:15:12,university of sheffield,I conduct research, I develop software for researchers,,,,Engineering & technology,university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,Yes,"Lucence, Weka, rdf3x, MTurk, StanfordNLP",Lecturer,Male,Permanent,Mac OS X,True
244,10/20/2014 18:17:39,university of liverpool,I conduct research, I manage researchers or research projects, I develop software for researchers, Develop public outreach,,"Biological, mathematical & physical sciences",nerc - natural environment research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,,Postdoctoral researcher,Male,Permanent,Mac OS X,False
245,10/20/2014 18:22:05,queen mary university of london,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences","other foundation, society or charity",6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","Computayional chemistry software: DL_POLY, CP2K, Gaussian, NWChem,,Programming languages: Fortran, Perl, bash scripting",Lecturer,Male,Permanent,Linux,True
246,10/20/2014 19:08:21,university of leeds,I conduct research, I develop software for researchers,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"python, numpy, matplotlib, scipy, scikit-learn, pandas, ipython, pandoc",PhD student,Male,Fixed term,Linux,True
247,10/20/2014 19:29:05,imperial college london,I conduct research, I develop software for researchers,,,,"Biological, mathematical & physical sciences",industry,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"Enthought Canopy (academic licence),GNU Image Manipulation Program (GIMP),LAMP stack,PostgreSQL,Python,Quantum Geographic Information System (QGIS),R,R-Studio,VMWare Fusion (academic licence),XCode",Postdoctoral researcher,Male,Fixed term,Linux,True
248,10/20/2014 19:41:17,university of sheffield,I conduct research, I support researchers,,,,Social studies,university central funds,More than 20 years,No,It would make no significant difference to my work,No,"Yes - a taught course, Yes - self taught using online resources or books",No,,Lecturer,Male,Permanent,Mac OS X,False
249,10/20/2014 19:53:21,university of bristol,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,"Biological, mathematical & physical sciences",european union,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,No,Yes,,Professor,Male,Permanent,Linux,False
250,10/20/2014 20:03:05,queen mary university of london,I conduct research,,,,,Humanities & language based studies & archaeology,esrc - economic and social research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - a taught course,No,"R, Python, LaTeX",PhD student,Prefer not to say,Fixed term,Mac OS X,True
251,10/20/2014 20:05:14,queen's university belfast,I conduct research, I manage researchers or research projects,,,,Architecture & planning,industry,15-20 years,No,It would make no significant difference to my work,No,No,No,,Professor,Female,Permanent,Mac OS X,False
252,10/20/2014 20:14:57,queen mary university of london,I conduct research, I support researchers, I manage researchers or research projects, I do lots of teaching admin and teaching, both of which are also a part of academia,"Biological, mathematical & physical sciences",nerc - natural environment research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,R,Reader,Male,Permanent,Mac OS X,True
253,10/20/2014 20:17:51,university of bristol,I conduct research, I support researchers, I manage researchers or research projects,,,Social studies,"other foundation, society or charity",11-15 years,Yes,It would not be practical to conduct my work without software,No,No,No,"Egret, MLWin, SPSS",Research Fellow,Female,Permanent,Microsoft Windows,True
254,10/20/2014 20:29:35,university of nottingham,I conduct research,,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"VectorNTI, CLC Genomics Workbench, GenePattern, BioEdit, HTSeq, Intrgrated Genomics Viewer (IGV), Chromeleon (Dionex-Thermo), MEGA phylogenetics software.,,",Postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
255,10/20/2014 20:41:35,university of leeds,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,Less than a year,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,No,"Labview, SPSS, Matlab",PhD student,Male,Fixed term,Linux,True
256,10/20/2014 20:53:48,queen mary university of london,I conduct research, I develop software for researchers,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,"No, but we expected to develop software as part of the project","CBMC, various shell/Perl scripts, Jenkins",Lecturer,Male,Permanent,Mac OS X,True
257,10/20/2014 21:25:04,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"Igor Pro, Matlab, python, C++",Researcher,Male,Permanent,Microsoft Windows,True
258,10/20/2014 21:29:49,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",university central funds,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"Nu Plasma MC-ICP-MS propriety software, Python scripts written by myself including matplotlip/numpy/scipy, occasional Octave, occasional QuantumGIS",PhD student,Other,Fixed term,Linux,True
259,10/20/2014 21:41:54,university of leeds,I conduct research,,,,,"Medicine, dentistry & health","other foundation, society or charity",1-5 years,Yes,"My work would require more effort, but it would still be possible",No,Yes - a taught course,I'm not involved in bid writing,"Nvivo, ",PhD student,Female,Permanent,Microsoft Windows,True
260,10/20/2014 22:14:10,university of bristol,I conduct research,,,,,Humanities & language based studies & archaeology,ahrc - arts and humanities research council,More than 20 years,Yes,It would make no significant difference to my work,No,No,"No, but we expected to develop software as part of the project",,Lecturer,Female,Permanent,Microsoft Windows,False
